alternative  n.二中择一,可供选择的办法,事物;adj.选择性的,二中择一的                
 没答barely  adv.仅仅,刚刚,几乎不能                
 没答alienate  v.疏远                
 没答dictate  v.口述,口授,使听写,指令,指示,命令,规定;n.指示(指理智,变心)                
 没答accelerate  v.加速,促进                
 没答considerate  adj.考虑周到的                
 没答communication  n.传达,信息,交通,通讯                
 没答consist  vi.由...组成,在于,一致                
 没答confidential  adj.秘密的,机密的                
 没答complexion  n.面色,肤色,情况,局面                
 没答aggressive  adj.好斗的,敢作敢为的,有闯劲的,侵略性的                
 没答complaint  n.诉苦,抱怨,牢骚,委屈,疾病                
 没答atmosphere  n.大气,空气,气氛                
 没答complication  n.复杂化,(使复杂的)因素;n.[医]并发症                
 没答conceive  vt.构思,以为,持有;vi.怀孕,考虑,设想                
 没答commonplace  n.平凡的事,平常话;adj.平凡的                
 没答entail  vt.使必需,使蒙受,使承担,遗传给;n.[建]限定继承权                
 没答deserve  vt.应受,值得;v.应受                
 没答allocate  vt.分派,分配                
 没答boycott  n.&vt.联合抵制,联合排斥某国货物或与某国绝交                
 没答presentation  n.提供显示外观                
 没答conscious  adj.有意识的,有知觉的,故意的,羞怯的                
 没答creation  n.创造,创作物                
 没答acquire  vt.获得,学到                
 没答degrade  v.(使)降级,(使)堕落,(使)退化                
 没答defy  vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于;n.挑战                
 没答denounce  vt.公开指责,公然抨击,谴责                
 没答clip  n.夹子,回形针,子弹夹;vt.夹住,剪短,修剪                
 没答limp  adj.柔软的,易曲的;vi.跛行                
 没答diagnose  v.诊断                
 没答racial  adj.人种的,种族的,种族间的                
 没答spectator  n.观众(指比赛或表演)                
 没答cordial  n.兴奋剂,兴奋性饮料;adj.热忱的,诚恳的,兴奋的                
 没答
