没答 complain  v.抱怨,悲叹,控诉                
答错 clutch  v.抓住,攫住;n.离合器                
答错 manifest  n.载货单,旅客名单;adj.显然的,明白的;vi.出现;vt.表明,证明                
没答 extensive  adj.广大的,广阔的,广泛的                
答错 ascend  v.攀登,上升                
没答 prevail  vi.流行,盛行,获胜,成功                
没答 intensive  adj.强烈的,精深的,透彻的,[语法]加强语气的;n.加强器                
答错 consult  v.商量,商议,请教,参考,考虑                
答错 settlement  n.沉降,解决,结算,殖民,殖民地                
答错 quota  n.配额,限额                
没答 quota  n.配额,限额                
答错 chief  n.首领,领袖,酋长,长官,主要部分,最有价值的部分;adj.主要的,首要的,首席的,主任的            
答错 substantial  adj.坚固的,实质的,真实的,充实的                
答错 gloomy  adj.黑暗的,阴沉的,令人沮丧的,阴郁的                
答错 reveal  vt.展现,显示,揭示,暴露                
答错 defy  vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于;n.挑战                
答错 rupture  v.破裂,裂开,断绝(关系等),割裂;n.破裂,决裂,敌对,割裂                
答错 expire  v.期满,终止,呼气,断气,届满                
没答 autonomy  n.自治                
答错 brand  n.商标,牌子,烙印;vt.打火印,污辱                
答错 brand  n.商标,牌子,烙印;vt.打火印,污辱                
没答 spectrum  n.光,光谱,型谱,频谱                
没答 adapt  vt.使适应,改编                
答错 cluster  n.串,丛;vi.丛生,成群                
答错 predominant  adj.卓越的,支配的,主要的,突出的,有影响的                
答错 distinct  adj.清楚的,明显的,截然不同的,独特的                
答错 clearance  n.清除                
答错 clutch  v.抓住,攫住;n.离合器                
没答 precious  adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的                
答错 valve  n.阀,[英]电子管,真空管                
答错 valve  n.阀,[英]电子管,真空管                
答错 notation  n.符号                
答错 fitting  adj.适合的,相称的,适宜的;n.试穿,试衣,装配,装置                
答错 sovereign  n.君主,统治;adj.至高无上的,君主的,独立自主的,完全的                
答错 cordial  n.兴奋剂,兴奋性饮料;adj.热忱的,诚恳的,兴奋的                
没答 superintendent  n.主管,负责人,指挥者,管理者                
