没答 desirable  adj.值得要的,合意的,令人想要的,悦人心意的                
没答 assistance  n.协助,援助,补助,<英>国家补助                
没答 depression  n.沮丧,消沉,低气压,低压                
没答 accurate  adj.正确的,精确的                
答错 robust  adj.精力充沛的                
答错 demand  n.要求,需求(量),需要;v.要求,需要,要求知道,查询                
答错 demand  n.要求,需求(量),需要;v.要求,需要,要求知道,查询                
答错 hardy  adj.难的,艰苦的，勇敢的;adv.努力地,辛苦地,坚硬地                
答错 slight  adj.轻微的,微小的                
答错 abolish  vt.废止,废除(法律、制度、习俗等)                
答错 abolish  vt.废止,废除(法律、制度、习俗等)                
答错 counter  n.计算器,计数器,计算者,柜台,筹码;adv.prep.相反地                
答错 fraction  n.小部分,片断,分数                
答错 subsidiary  adj.辅助的,补充的                
